Dimension,Execution Time
816.000000,23.723858
817.000000,24.266467
818.000000,23.753538
819.000000,23.859788
820.000000,23.961477
821.000000,24.023498
822.000000,24.120187
823.000000,24.225127
824.000000,24.337187
825.000000,24.359387
826.000000,24.739175
827.000000,24.484107
828.000000,24.667106
829.000000,24.689455
830.000000,24.910375
831.000000,24.866565
832.000000,24.982625
833.000000,25.093444
834.000000,25.228935
835.000000,25.225164
836.000000,25.354644
837.000000,25.384674
838.000000,25.517833
839.000000,25.513884
840.000000,25.750453
841.000000,25.759893
842.000000,25.827702
843.000000,25.940193
844.000000,26.037762
845.000000,26.113902
846.000000,26.163842
847.000000,26.267911
848.000000,26.426521
849.000000,26.577101
850.000000,26.491631
851.000000,26.769300
852.000000,26.782480
853.000000,26.804550
854.000000,26.926230
855.000000,27.038569
856.000000,27.093280
857.000000,27.138059
858.000000,27.288399
859.000000,27.338649
860.000000,27.442469
861.000000,27.693218
862.000000,27.611338
863.000000,27.824028
864.000000,27.975478
865.000000,27.954948
866.000000,28.050827
867.000000,28.091457
868.000000,28.142816
869.000000,28.230497
870.000000,28.361167
871.000000,28.424496
872.000000,28.546156
873.000000,28.595586
874.000000,28.769755
875.000000,28.828255
876.000000,28.893395
877.000000,28.942774
878.000000,29.110944
879.000000,29.140194
880.000000,29.260063
881.000000,29.290114
882.000000,29.454754
883.000000,29.590413
884.000000,29.651073
885.000000,29.782582
886.000000,29.844692
887.000000,29.900252
888.000000,30.050012
889.000000,30.167682
890.000000,30.135732
891.000000,30.237271
892.000000,30.375701
893.000000,30.454431
894.000000,30.600510
895.000000,30.596270
896.000000,30.749179
897.000000,30.886500
898.000000,30.913999
899.000000,31.039339
900.000000,31.088119
901.000000,31.219449
902.000000,31.334059
903.000000,31.327019
904.000000,31.563648
905.000000,31.560088
906.000000,31.700457
907.000000,31.824387
908.000000,31.862357
909.000000,31.990717
910.000000,32.102866
911.000000,32.172337
912.000000,32.284046
913.000000,32.427406
914.000000,32.596695
915.000000,32.554605
916.000000,32.784454
917.000000,32.794865
918.000000,32.968784
919.000000,33.090304
920.000000,33.138574
921.000000,33.151924
922.000000,33.349333
923.000000,33.389454
924.000000,33.530912
925.000000,33.789712
926.000000,33.725822
927.000000,34.033911
928.000000,34.139101
929.000000,33.997922
930.000000,34.173181
931.000000,34.264540
932.000000,34.377101
933.000000,34.479210
934.000000,34.755510
935.000000,34.625840
936.000000,34.848620
937.000000,34.843159
938.000000,35.052709
939.000000,35.058709
940.000000,35.332468
941.000000,35.294148
942.000000,35.499708
943.000000,35.480607
944.000000,35.723558
945.000000,35.861036
946.000000,35.835177
947.000000,36.029266
948.000000,35.998247
949.000000,36.089076
950.000000,36.252746
951.000000,36.387755
952.000000,36.415415
953.000000,36.567025
954.000000,36.685084
955.000000,36.848863
956.000000,36.944794
957.000000,37.080804
958.000000,37.256892
959.000000,37.291332
960.000000,37.390012
961.000000,37.503872
962.000000,37.597223
963.000000,37.796852
964.000000,37.862611
965.000000,37.977602
966.000000,38.112491
967.000000,38.157250
968.000000,38.371549
969.000000,38.512789
970.000000,38.773929
971.000000,40.520025
972.000000,38.785509
973.000000,38.901399
974.000000,38.964418
975.000000,39.029788
976.000000,39.139008
977.000000,39.373608
978.000000,39.346117
979.000000,39.502317
980.000000,39.689717
981.000000,39.737076
982.000000,39.866916
983.000000,39.916016
984.000000,40.149505
985.000000,40.458065
986.000000,40.695874
987.000000,40.453345
988.000000,40.590545
989.000000,40.656044
990.000000,40.774334
991.000000,40.911433
992.000000,41.086603
993.000000,41.095693
994.000000,41.259653
995.000000,41.362172
996.000000,42.010550
997.000000,41.814531
998.000000,41.899820
999.000000,41.973541
1000.000000,42.210361
